Company Name,Lead Partner,Primary Investor Type,Primary Industry Sector
La Vie,Michel Larroche,Angel (individual),Consumer Products and Services (B2C)
Qovoltis,Pâris Mouratoglou,Angel (individual),Consumer Products and Services (B2C)
Rivrs,Constance Rietzler,Venture Capital,Information Technology
DinMo,Diogo Cunha,Venture Capital,Information Technology
Formality,Sébastien Le Roy,Venture Capital,Information Technology
Poolside (Software Development Applications),Enrique Salem,Venture Capital,Information Technology
Poolside (Software Development Applications),Aydin Senkut,Venture Capital,Information Technology
Poolside (Software Development Applications),Rashmi Gopinath,Angel (individual),Information Technology
Poolside (Software Development Applications),Erica Brescia,Venture Capital,Information Technology
Sepia Infrastructure,Damien Pierron,Venture Capital,Energy
Dessia,Robert Gallenberger,Venture Capital,Information Technology
Dessia,François Breniaux,Venture Capital,Information Technology
VelyVelo,Ali Mokhtar,Venture Capital,Business Products and Services (B2B)
Qantev,Ophelia Brown,Venture Capital,Information Technology
Qantev,Anne-Sophie Carrese,Venture Capital,Information Technology
Micropep,Baptiste Tellier,Venture Capital,Materials and Resources
Micropep,Guillaume Baxter,Venture Capital,Materials and Resources
Micropep,Romain Sautrau,Venture Capital,Materials and Resources
Micropep,Lionel Artusio-Payot,Venture Capital,Materials and Resources
SurgAR,Céline Passedouet,Venture Capital,Healthcare
SurgAR,Jacques Gardette,Angel (individual),Healthcare
Dotfile,Aristotelis Xenofontos,Venture Capital,Information Technology
Inspek,François Paulus,Venture Capital,Information Technology
Inspek,William Zeng,Venture Capital,Information Technology
Inspek,Xavier Gury,Venture Capital,Information Technology
La Solive,David Guérin,Venture Capital,Business Products and Services (B2B)
La Solive,Clément Delpirou,Angel (individual),Business Products and Services (B2B)
La Solive,Alison Imbert,Venture Capital,Business Products and Services (B2B)
La Solive,Thibaud Hug de Larauze,Angel (individual),Business Products and Services (B2B)
La Solive,Vincent Bryant,Angel (individual),Business Products and Services (B2B)
Jump (Financial Software),Benjamin Deplus,Venture Capital,Information Technology
Inbolt,Cyril Ebersweiler,Venture Capital,Information Technology
Inbolt,Yann Fleureau,Angel (individual),Information Technology
Bioteos,Mathieu Tarnus,Venture Capital,Healthcare
Green Corp (Automotive),Sebastien Guillaud,Venture Capital,Consumer Products and Services (B2C)
Samp,Jeremy Teboul,Venture Capital,Information Technology
Abolis,Matthieu Vermersch,Venture Capital,Healthcare
Abolis,Tobias Faupel,Venture Capital,Healthcare
Abolis,Peter Gelderen,Venture Capital,Healthcare
Trust-Place,Pierre Joubert,Venture Capital,Information Technology
Trust-Place,Cécile Bassot,Venture Capital,Information Technology
Brightflow,Baudouin Hue,Venture Capital,Healthcare
Brightflow,Philippe Durieux,Venture Capital,Healthcare
Chemdoc Water Technologies,Isabelle de Cremoux,Venture Capital,Business Products and Services (B2B)
Elum,Eileen Waris,Venture Capital,Information Technology
Patrowl,Erwan Bernard,Venture Capital,Information Technology
Korint,Thomas Nivard,Venture Capital,Information Technology
Korint,Jean Bourcereau,Venture Capital,Information Technology
Hepta Medical,Kum Jocelyn,Venture Capital,Healthcare
Hivebrite,Edward Filippi,Angel (individual),Information Technology
Hivebrite,Pierre-Edouard Harant,Angel (individual),Information Technology
