Company Name,Lead Partner,Primary Investor Type,Primary Industry Sector
GEOLITH,Philippe Degremont,Angel (individual),Business Products and Services (B2B)
GEOLITH,Philippe Gislette,Angel (individual),Business Products and Services (B2B)
ContentSquare,Anthony Zappalà,Venture Capital,Information Technology
Champagne EPC,Cedric Sellin,Angel (individual),Consumer Products and Services (B2C)
Tridek-One,Alain Huriez,Venture Capital,Healthcare
Tridek-One,Alain Huriez,Venture Capital,Healthcare
Tridek-One,Klaus Breiner,Venture Capital,Healthcare
Evy,Adrien Nussenbaum,Angel (individual),Financial Services
Evy,Raphaël Vullierme,Angel (individual),Financial Services
Evy,Xavier Niel,Angel (individual),Financial Services
Orus,Arthur Waller,Angel (individual),Financial Services
Orus,Christophe Triquet,Angel (individual),Financial Services
Orus,Emmanuel Chave,Angel (individual),Financial Services
Orus,Jérôme Ros,Angel (individual),Financial Services
Orus,Marie Muller,Angel (individual),Financial Services
Orus,Alison Imbert,Venture Capital,Financial Services
Orus,Pierre-Olivier Desaulle,Angel (individual),Financial Services
Orus,Raphaël Vullierme,Angel (individual),Financial Services
Fifty,Axel Manoukian,Angel (individual),Information Technology
Fifty,Hugo Manoukian,Angel (individual),Information Technology
Revcoo,Charles Fourault,Venture Capital,Business Products and Services (B2B)
Baouw,Jean-Christophe Liaubet,Angel (individual),Consumer Products and Services (B2C)
BforeAI,Enrico Raggini,Venture Capital,Information Technology
BforeAI,Emmanuel Daugeras,Venture Capital,Information Technology
BforeAI,Kristjan Laanemaa,Venture Capital,Information Technology
BforeAI,María Téllez,Venture Capital,Information Technology
Digital4Better,David Leray,Venture Capital,Information Technology
Latitude,Maxence Valero,Venture Capital,Business Products and Services (B2B)
Latitude,Charles Beigbeder,Venture Capital,Business Products and Services (B2B)
Royaltiz,Alexandra Serizay,Angel (individual),Information Technology
Royaltiz,Jacques Richier,Angel (individual),Information Technology
Royaltiz,Julien Martinez,Angel (individual),Information Technology
Royaltiz,Remy Boulesteix,Angel (individual),Information Technology
Royaltiz,Stephan Catoire,Angel (individual),Information Technology
Royaltiz,Thomas Blondet,Angel (individual),Information Technology
Cosmo Connected,Adrien Dassault,Angel (individual),Consumer Products and Services (B2C)
Cosmo Connected,Gary Anssens,Angel (individual),Consumer Products and Services (B2C)
Cosmo Connected,Patrice Pastor,Angel (individual),Consumer Products and Services (B2C)
Sorare,Blake Griffin,Angel (individual),Information Technology
Sorare,Kylian Mbappe,Angel (individual),Information Technology
Sorare,Lionel Messi,Angel (individual),Information Technology
Sorare,Rudy Gobert-Bourgarel,Angel (individual),Information Technology
Sorare,Zinedine Zidane,Angel (individual),Information Technology
Finfrog,Francois Collet,Venture Capital,Financial Services
Micropep,Baptiste Tellier,Venture Capital,Materials and Resources
Micropep,Denis Lucquin,Venture Capital,Materials and Resources
Micropep,Romain Sautrau,Venture Capital,Materials and Resources
Flowdesk,Léa Verdillon,Venture Capital,Information Technology
Flowdesk,Alexandre Prot,Angel (individual),Information Technology
Flowdesk,Alexis Bonillo,Angel (individual),Information Technology
Flowdesk,Alexis Bonte,Angel (individual),Information Technology
Flowdesk,Benjamin Chemla,Angel (individual),Information Technology
Flowdesk,Dan Childs,Angel (individual),Information Technology
Flowdesk,Didier Valet,Angel (individual),Information Technology
Flowdesk,Gautham Radhakrishnan,Angel (individual),Information Technology
Flowdesk,Grégoire Le Jeune,Angel (individual),Information Technology
Flowdesk,Kartik Garg,Angel (individual),Information Technology
Flowdesk,Kaushik Chakravarti,Angel (individual),Information Technology
Flowdesk,Louis Guthmann,Angel (individual),Information Technology
Flowdesk,Marc Bhargava,Angel (individual),Information Technology
Flowdesk,Mark Ransford,Angel (individual),Information Technology
Flowdesk,Meltem Demirors,Angel (individual),Information Technology
Flowdesk,Nicolas Julia,Angel (individual),Information Technology
Flowdesk,Nicolas Meiller,Angel (individual),Information Technology
Flowdesk,Pascal Gauthier,Angel (individual),Information Technology
Flowdesk,Perry Blacher,Angel (individual),Information Technology
Flowdesk,Sam Wisnia,Angel (individual),Information Technology
Flowdesk,Sebastien Borget,Angel (individual),Information Technology
Homa Games,Max Mersch,Venture Capital,Information Technology
Homa Games,Brice Delome,Venture Capital,Information Technology
Siteflow,Nader Sabbaghian,Venture Capital,Information Technology
Hunteed,Isabelle Weill,Angel (individual),Business Products and Services (B2B)
Bleen,Alexandre Yazdi,Angel (individual),Consumer Products and Services (B2C)
Bleen,Alexis Bonillo,Angel (individual),Consumer Products and Services (B2C)
Bleen,Antoine Martin,Angel (individual),Consumer Products and Services (B2C)
Bleen,Aude Colombier,Angel (individual),Consumer Products and Services (B2C)
Bleen,Bertrand Picard,Angel (individual),Consumer Products and Services (B2C)
Bleen,Jean-Philippe Darnault,Angel (individual),Consumer Products and Services (B2C)
Bleen,Martin Balas,Angel (individual),Consumer Products and Services (B2C)
Intento Design,Thibault Canton,Venture Capital,Information Technology
Mokki (Services (B2C Non-Financial)),Coco Meers,Angel (individual),Business Products and Services (B2B)
Mokki (Services (B2C Non-Financial)),Jade Francine,Angel (individual),Business Products and Services (B2B)
Mokki (Services (B2C Non-Financial)),Michael Spies,Angel (individual),Business Products and Services (B2B)
Mokki (Services (B2C Non-Financial)),Samantha Bonning,Angel (individual),Business Products and Services (B2B)
Amalia,Pierre-Antoine Dusoulier,Angel (individual),Information Technology
auum,Sarah Corne,Venture Capital,Business Products and Services (B2B)
auum,Chloé Cohen-Aknine,Venture Capital,Business Products and Services (B2B)
DCbrain,Fabio Lancellotti,Venture Capital,Information Technology
Pepette,Augustin Marmont,Angel (individual),Consumer Products and Services (B2C)
Pepette,Benjamin Perot,Angel (individual),Consumer Products and Services (B2C)
Pepette,Franck Bonfils,Angel (individual),Consumer Products and Services (B2C)
Pepette,Alexis Menard,Venture Capital,Consumer Products and Services (B2C)
Pepette,Patrick Asdaghi,Angel (individual),Consumer Products and Services (B2C)
Scintil Photonics,Vincent Deltrieu,Venture Capital,Information Technology
Scintil Photonics,Pierre-Emmanuel Struyven,Venture Capital,Information Technology
Cosmian,Xavier Lazarus,Venture Capital,Information Technology
Cosmian,Guillaume Amblard,Angel (individual),Information Technology
Formance,Don Hoang,Angel (individual),Information Technology
Formance,Pierre Youenou,Angel (individual),Information Technology
Hero (Paris),Valentine Baudouin,Angel (individual),Information Technology
EcoTree,Frédéric Caron,Venture Capital,Business Products and Services (B2B)
EcoTree,Christophe Pechoux,Angel (individual),Business Products and Services (B2B)
HappyVore,Philippe Cantet,Angel (individual),Consumer Products and Services (B2C)
Stoik,Thomas Cuvelier,Venture Capital,Information Technology
Stoik,Seema Amble,Venture Capital,Information Technology
Stoik,Henrique De Castro,Angel (individual),Information Technology
Stoik,Julian Teicke,Angel (individual),Information Technology
Selvitys,Alexander Ichai,Angel (individual),Information Technology
Iome Bio,Neena Kadaba,Venture Capital,Healthcare
JUST (Business/Productivity Software),Arthur Waller,Angel (individual),Information Technology
JUST (Business/Productivity Software),Didier Valet,Angel (individual),Information Technology
JUST (Business/Productivity Software),Edward Lando,Angel (individual),Information Technology
JUST (Business/Productivity Software),Jon Oringer,Angel (individual),Information Technology
JUST (Business/Productivity Software),Nima Golpaygani,Angel (individual),Information Technology
Comet,Gotz Gleichmann,Venture Capital,Business Products and Services (B2B)
Comet,Pierre-Eric Leibovici,Venture Capital,Business Products and Services (B2B)
ImCheck Therapeutics,Florent Gros,Venture Capital,Healthcare
ImCheck Therapeutics,Remi Droller,Venture Capital,Healthcare
ImCheck Therapeutics,Regina Hodits,Venture Capital,Healthcare
Metafore,Michaël Benabou,Angel (individual),Business Products and Services (B2B)
Ludocare,Catherine Boule,Venture Capital,Healthcare
CastorDoc,Florian Douetteau,Angel (individual),Information Technology
Coinhouse,Alain Rodermann,Venture Capital,Financial Services
Coinhouse,Nicolas Priem,Venture Capital,Financial Services
Coinhouse,Frank Desvignes,Venture Capital,Financial Services
Coinhouse,Alexis du Peloux,Venture Capital,Financial Services
Moon Surgical,Alan Au,Venture Capital,Healthcare
Moon Surgical,Richard Leparmentier,Angel (individual),Healthcare
Moon Surgical,Sacha Loiseau,Angel (individual),Healthcare
Moon Surgical,Yann Fleureau,Angel (individual),Healthcare
nfinite,Dafina Toncheva,Venture Capital,Information Technology
Pimster,Axel Manoukian,Angel (individual),Information Technology
Pimster,Frédéric Montagnon,Angel (individual),Information Technology
Pimster,Stéphane Levy,Angel (individual),Information Technology
Pimster,Thibaud Elziere,Angel (individual),Information Technology
Diabeloop,Celia Hart,Venture Capital,Healthcare
Fabriq (Business/Productivity Software),Christophe Chausson,Angel (individual),Information Technology
Fabriq (Business/Productivity Software),Gabriel Caillaux,Angel (individual),Information Technology
Fabriq (Business/Productivity Software),Henri de Castries,Angel (individual),Information Technology
Fabriq (Business/Productivity Software),Matthieu Vaxelaire,Angel (individual),Information Technology
Fabriq (Business/Productivity Software),Renan Devillieres,Venture Capital,Information Technology
Fabriq (Business/Productivity Software),Patrick Asdaghi,Angel (individual),Information Technology
Fabriq (Business/Productivity Software),Romain Raffard,Angel (individual),Information Technology
Fabriq (Business/Productivity Software),Thibaud Elziere,Angel (individual),Information Technology
Greenly,Matthias Dill,Venture Capital,Information Technology
Greenly,Jean-Baptiste Rudelle,Angel (individual),Information Technology
Ermium Therapeutics,Suat Tops,Venture Capital,Healthcare
Ermium Therapeutics,Aidan King,Venture Capital,Healthcare
Ermium Therapeutics,Thierry Laugel,Venture Capital,Healthcare
Maxesport,Alexandre Bonetti,Angel (individual),Consumer Products and Services (B2C)
Maxesport,Baptiste Hamel,Angel (individual),Consumer Products and Services (B2C)
Maxesport,Dan Madesclaire,Angel (individual),Consumer Products and Services (B2C)
Maxesport,Emmanuel Bour,Angel (individual),Consumer Products and Services (B2C)
Maxesport,Jean Roquette,Angel (individual),Consumer Products and Services (B2C)
Maxesport,Jeremie Bordier,Angel (individual),Consumer Products and Services (B2C)
Maxesport,Mark Petetin,Angel (individual),Consumer Products and Services (B2C)
Maxesport,Matthieu Peche,Angel (individual),Consumer Products and Services (B2C)
Maxesport,Thierry Debarnot,Angel (individual),Consumer Products and Services (B2C)
Maxesport,Vincent Macé,Angel (individual),Consumer Products and Services (B2C)
Moona,Cyril Ebersweiler,Venture Capital,Consumer Products and Services (B2C)
Mobee Travel,Bruno Couly,Angel (individual),Consumer Products and Services (B2C)
Mobee Travel,Georges Sans,Angel (individual),Consumer Products and Services (B2C)
X'ProChem,Guillaume Bruniaux,Venture Capital,Healthcare
Kiln (Paris),Alexandre Lemarchand,Angel (individual),Information Technology
Kiln (Paris),Arnaud de Bermingham,Angel (individual),Information Technology
Kiln (Paris),Arthur Falls,Angel (individual),Information Technology
Kiln (Paris),Arthur Madrid,Angel (individual),Information Technology
Kiln (Paris),Beth Turner,Angel (individual),Information Technology
Kiln (Paris),Ciarán O'Leary,Angel (individual),Information Technology
Kiln (Paris),Frédéric Montagnon,Angel (individual),Information Technology
Kiln (Paris),Jenna Zenk,Angel (individual),Information Technology
Kiln (Paris),Jordane Giuly,Angel (individual),Information Technology
Kiln (Paris),Alexis Robert,Venture Capital,Information Technology
Kiln (Paris),Manfred Touron,Angel (individual),Information Technology
Kiln (Paris),Nicolas Debock,Angel (individual),Information Technology
Kiln (Paris),Nicolas Marchais,Angel (individual),Information Technology
Kiln (Paris),Philippe Honigman,Angel (individual),Information Technology
Kiln (Paris),Reda Berrehili,Angel (individual),Information Technology
Kiln (Paris),Sebastien Borget,Angel (individual),Information Technology
Kiln (Paris),Sebastien Couture,Angel (individual),Information Technology
Kiln (Paris),Shana Fisher,Angel (individual),Information Technology
Kiln (Paris),Thibaud Elziere,Angel (individual),Information Technology
Kiln (Paris),Yann Lechelle,Angel (individual),Information Technology
Ellipse (Media and Information Services),Tilo Bonow,Venture Capital,Business Products and Services (B2B)
Advae,Jean-Marc Bally,Venture Capital,Information Technology
Advae,Romain Vidal,Venture Capital,Information Technology
Advae,Philippe Hayat,Venture Capital,Information Technology
Sylfen,Marine Glon,Venture Capital,Energy
Therapixel,François Santi,Venture Capital,Healthcare
Therapixel,Jerome Feraud,Venture Capital,Healthcare
Domain Therapeutics,Roberto Ponti,Venture Capital,Healthcare
Domain Therapeutics,Laurence Rulleau,Venture Capital,Healthcare
Domain Therapeutics,James Huang,Venture Capital,Healthcare
Domain Therapeutics,Emmanuel Fiessinger,Venture Capital,Healthcare
Germitec,Jean-François Rivassou,Venture Capital,Healthcare
Sencrop,Alexandre Dahan,Venture Capital,Business Products and Services (B2B)
StromaCare,Isabelle Bou Antoun,Venture Capital,Healthcare
Zozio,Steven Lambert,Venture Capital,Information Technology
Zozio,Thibaud Le Séguillon,Venture Capital,Information Technology
Zozio,Nicolas Biet,Venture Capital,Information Technology
Alan,Jan Hammer,Venture Capital,Financial Services
Axomove,François-Xavier Fanard,Venture Capital,Healthcare
EasyPicky,Frederic Halley,Angel (individual),Information Technology
Maskott,Jérôme Pascal,Angel (individual),Information Technology
Zama,Herbert Mangesius,Venture Capital,Information Technology
Archeon Medical,Charles-Antoine Morand,Venture Capital,Healthcare
Archeon Medical,Pauline de Breteuil,Venture Capital,Healthcare
DataGalaxy,Baris Aksoy,Venture Capital,Information Technology
Kaiko,Bartosz Jakubowski,Venture Capital,Information Technology
Kaiko,Pawel Chudzinski,Venture Capital,Information Technology
Kaiko,Richard Dulude,Venture Capital,Information Technology
Kosmik,Paolo Rubatto,Venture Capital,Information Technology
Morpho,Frédéric Montagnon,Angel (individual),Information Technology
Morpho,Jin Kang,Angel (individual),Information Technology
Morpho,Nicolas Bacca,Angel (individual),Information Technology
Morpho,Spencer Noon,Venture Capital,Information Technology
QiOVA,Pierre-Antoine Cognard,Venture Capital,Business Products and Services (B2B)
Helios (Paris),Eric Gossart,Venture Capital,Information Technology
Implicity,Tanguy Besson,Venture Capital,Healthcare
Implicity,Baudouin Hue,Venture Capital,Healthcare
Implicity,Guillaume Meulle,Venture Capital,Healthcare
Sayna,Zachariah George,Venture Capital,Consumer Products and Services (B2C)
Arianee,Bruno Berhulst,Angel (individual),Information Technology
Arianee,Clement Buyse,Angel (individual),Information Technology
Arianee,Delphine Vitry,Angel (individual),Information Technology
Arianee,Jean Canzoneri,Angel (individual),Information Technology
Arianee,Jonathan Benhamou,Angel (individual),Information Technology
Arianee,Jonathan Cherki,Angel (individual),Information Technology
Arianee,Nicolas Moura,Angel (individual),Information Technology
Arianee,Pierre Denis,Angel (individual),Information Technology
Arianee,Roxxane Varza,Angel (individual),Information Technology
Arianee,Sandrine Rousseau,Angel (individual),Information Technology
Arianee,Sebastien Lalevee,Angel (individual),Information Technology
Arianee,Thibaud Elziere,Angel (individual),Information Technology
Arianee,Thibaud Remacle,Angel (individual),Information Technology
Arianee,Thomas Pasquet,Angel (individual),Information Technology
Arianee,Griffin Schroeder,Venture Capital,Information Technology
Destree,Amy Griffin,Angel (individual),Consumer Products and Services (B2C)
Destree,Beyonce Knowles-Carter,Angel (individual),Consumer Products and Services (B2C)
Destree,Carmen Busquets,Angel (individual),Consumer Products and Services (B2C)
Destree,Emily Weiss,Angel (individual),Consumer Products and Services (B2C)
Destree,Gabriela Hearst,Angel (individual),Consumer Products and Services (B2C)
Destree,Gisele Bündchen,Angel (individual),Consumer Products and Services (B2C)
Destree,Angelica Cheung,Venture Capital,Consumer Products and Services (B2C)
Destree,Jessica Warren,Angel (individual),Consumer Products and Services (B2C)
Destree,Reese Witherspoon,Angel (individual),Consumer Products and Services (B2C)
Destree,Robyn Fenty,Angel (individual),Consumer Products and Services (B2C)
Jolimoi,Nathalie Balla,Angel (individual),Consumer Products and Services (B2C)
Jolimoi,Pauline Duval,Angel (individual),Consumer Products and Services (B2C)
Jolimoi,Thierry Petit,Angel (individual),Consumer Products and Services (B2C)
Kardinal,Sarah Benhamou,Venture Capital,Information Technology
Kardinal,Sébastien Le Roy,Venture Capital,Information Technology
French Bloom,Florian Dubreuil,Angel (individual),Consumer Products and Services (B2C)
French Bloom,Frederic Biousse,Angel (individual),Consumer Products and Services (B2C)
French Bloom,Jean Moueix,Angel (individual),Consumer Products and Services (B2C)
French Bloom,Marguerite Dassault,Angel (individual),Consumer Products and Services (B2C)
Studiomatic,Olivier de Trogoff,Angel (individual),Consumer Products and Services (B2C)
Studiomatic,Olivier Bronner,Venture Capital,Consumer Products and Services (B2C)
Day One (Education and Training Services),Alexis Menard,Venture Capital,Business Products and Services (B2B)
Mansio,Alexandre Prot,Angel (individual),Consumer Products and Services (B2C)
Mansio,Bertrand Diard,Angel (individual),Consumer Products and Services (B2C)
Mansio,Marc Menasé,Venture Capital,Consumer Products and Services (B2C)
Mansio,Marie Brayer,Angel (individual),Consumer Products and Services (B2C)
Mansio,Thomas Rebaud,Angel (individual),Consumer Products and Services (B2C)
Remedee Labs,Frederic Barroux,Venture Capital,Healthcare
Beanstock,Thomas Nivard,Venture Capital,Consumer Products and Services (B2C)
Beanstock,Alister Moreno,Angel (individual),Consumer Products and Services (B2C)
Beanstock,Arkadi Jampolski,Angel (individual),Consumer Products and Services (B2C)
Beanstock,Aviad Eyal,Angel (individual),Consumer Products and Services (B2C)
Beanstock,Giorgio Tinacci,Angel (individual),Consumer Products and Services (B2C)
Beanstock,Jan Hase,Angel (individual),Consumer Products and Services (B2C)
Beanstock,Pablo Fernandez,Angel (individual),Consumer Products and Services (B2C)
Beanstock,Raphaël Di Meglio,Angel (individual),Consumer Products and Services (B2C)
Beanstock,Victor Lugger,Angel (individual),Consumer Products and Services (B2C)
Beanstock,Vincent Huguet,Angel (individual),Consumer Products and Services (B2C)
Eldo (Media and Information Services),Patrice Hutin,Venture Capital,Business Products and Services (B2B)
Trusk,Balthazar de Lavergne,Angel (individual),Consumer Products and Services (B2C)
Trusk,Oussama Ammar,Angel (individual),Consumer Products and Services (B2C)
Captain Data,Amaury Sepulchre,Angel (individual),Information Technology
Captain Data,Arnaud Monnier,Angel (individual),Information Technology
Captain Data,Benjamin Blasco,Angel (individual),Information Technology
Captain Data,Jürgen Wolff,Angel (individual),Information Technology
Captain Data,Thibaud Elziere,Angel (individual),Information Technology
May.,Léa Zaslavsky,Venture Capital,Consumer Products and Services (B2C)
Skillup,Antoine Freysz,Venture Capital,Information Technology
Hugging Face,Lee Fixel,Venture Capital,Information Technology
Hugging Face,Damien Gosset,Angel (individual),Information Technology
Hugging Face,Edouard Rosenblum,Angel (individual),Information Technology
Hugging Face,Kevin Durant,Angel (individual),Information Technology
Hugging Face,Brandon Reeves,Venture Capital,Information Technology
Hugging Face,Matthieu Vaxelaire,Angel (individual),Information Technology
Hugging Face,Nicolas Steegmann,Angel (individual),Information Technology
Hugging Face,Olivier Pomel,Angel (individual),Information Technology
Hugging Face,Rich Kleiman,Angel (individual),Information Technology
Hugging Face,Ronny Conway,Angel (individual),Information Technology
Hugging Face,Patrick Grady,Venture Capital,Information Technology
Hugging Face,Thibaud Elziere,Angel (individual),Information Technology
LimFlow,Jocelyn Kum,Venture Capital,Healthcare
LimFlow,Maxwell Bikoff,Venture Capital,Healthcare
Sweep (Environmental Services),Bernard Liautaud,Venture Capital,Information Technology
Sweep (Environmental Services),Xavier Niel,Venture Capital,Information Technology
Moka.care,Antoine Dupont,Angel (individual),Healthcare
Moka.care,Antoine Griezmann,Angel (individual),Healthcare
Moka.care,Jason Fiedler,Venture Capital,Healthcare
Beamy,Léa Verdillon,Venture Capital,Information Technology
Beamy,Erwan Keraudy,Angel (individual),Information Technology
Beamy,Jean-David Chamboredon,Venture Capital,Information Technology
Beamy,Nicolas Hernandez,Angel (individual),Information Technology
SENSE in,Alexandre Boulay,Venture Capital,Information Technology
Deepki,Jean Tardy-Joubert,Venture Capital,Information Technology
Core Biogenesis,Friederike Grosse-Holz,Venture Capital,Healthcare
Core Biogenesis,James Dacombe,Angel (individual),Healthcare
Core Biogenesis,Alexis du Peloux,Venture Capital,Healthcare
Fairbrics,Kevin Eggers,Venture Capital,Materials and Resources
FeetMe,Cyril Ebersweiler,Venture Capital,Healthcare
Polaris (Biotechnology),Isabelle de Cremoux,Venture Capital,Healthcare
Quidli,Shawn Broderick,Venture Capital,Financial Services
Cross The Ages,Sebastien Borget,Angel (individual),Information Technology
Each One,Pierre Dubuc,Angel (individual),Business Products and Services (B2B)
Each One,Thierry Petit,Angel (individual),Business Products and Services (B2B)
Invivox,Marie Geneste,Venture Capital,Information Technology
Invivox,Thierry Vandewalle,Venture Capital,Information Technology
Kwik (Logistics),Leonard Stiegeler,Angel (individual),Business Products and Services (B2B)
Kwik (Logistics),Yves Guillemot,Angel (individual),Business Products and Services (B2B)
Neobrain,Cyrus Contant,Venture Capital,Information Technology
SCOP3,Frédéric Salles,Venture Capital,Business Products and Services (B2B)
Vendredi,Thierry Petit,Angel (individual),Business Products and Services (B2B)
Bigblue,Dmitry Chikhachev,Venture Capital,Information Technology
Gama,Edouard Nattée,Angel (individual),Business Products and Services (B2B)
Gama,Marie Outtier,Angel (individual),Business Products and Services (B2B)
Kayrros,Jacobo Abitbol,Venture Capital,Information Technology
Kayrros,Harold Primat,Angel (individual),Information Technology
Napta,Antoine Freysz,Venture Capital,Information Technology
Pubstack,Alexis Menard,Venture Capital,Information Technology
Pubstack,Hervé Brunet,Angel (individual),Information Technology
Pubstack,Jean-David Chamboredon,Venture Capital,Information Technology
Pubstack,Jean Canzoneri,Angel (individual),Information Technology
The Big Whale,Ardeschir Dabaghchian,Angel (individual),Business Products and Services (B2B)
The Big Whale,Marc Menasé,Venture Capital,Business Products and Services (B2B)
The Big Whale,Frédéric Montagnon,Angel (individual),Business Products and Services (B2B)
The Big Whale,Gonzague Grandval,Angel (individual),Business Products and Services (B2B)
The Big Whale,Jean Michel Pailhon,Angel (individual),Business Products and Services (B2B)
The Big Whale,Jean-Christophe Liaubet,Angel (individual),Business Products and Services (B2B)
The Big Whale,Nicolas Chéron,Angel (individual),Business Products and Services (B2B)
The Big Whale,Olivier Jaillon,Angel (individual),Business Products and Services (B2B)
The Big Whale,Quentin de Beauchesne,Angel (individual),Business Products and Services (B2B)
The Big Whale,Reda Berrehili,Angel (individual),Business Products and Services (B2B)
Uptime (Electronic Equipment and Instruments),Xavier Lorphelin,Venture Capital,Information Technology
SnackThis,Jerome Joaug,Angel (individual),Information Technology
SpaceFill,Maxime Paradis,Angel (individual),Information Technology
Akeneo,Reza Malekzadeh,Venture Capital,Information Technology
Motto (Automotive),Maxime de Varine-Bohan,Venture Capital,Consumer Products and Services (B2C)
+Simple,Stefan Klestil,Venture Capital,Financial Services
Flowlity,Alexander Meyer,Venture Capital,Information Technology
Veesion,Antoine Loison,Venture Capital,Information Technology
Alice & Bob,Sofia Dahoune,Venture Capital,Information Technology
Bodyguard,Adrien Montfort,Angel (individual),Information Technology
Bodyguard,Djamel Agaoua,Angel (individual),Information Technology
Bodyguard,Bernardus Verwaayen,Venture Capital,Information Technology
Bodyguard,Rudy Gobert-Bourgarel,Angel (individual),Information Technology
Bodyguard,Simon Pascual,Angel (individual),Information Technology
Bodyguard,Chloé Cohen-Aknine,Venture Capital,Information Technology
Tenacy,Thierry Rouquet,Venture Capital,Information Technology
Tenacy,Gwenaël Hamon,Venture Capital,Information Technology
Rollee,Kieran Hill,Venture Capital,Information Technology
Reveal (Business/Productivity Software),Michael Chalfen,Venture Capital,Information Technology
Reveal (Business/Productivity Software),Audrey Soussan,Venture Capital,Information Technology
Convelio,Marieke Christmann,Venture Capital,Business Products and Services (B2B)
Convelio,David Sainteff,Venture Capital,Business Products and Services (B2B)
Convelio,Javier Santiso,Venture Capital,Business Products and Services (B2B)
Re:Chemistry,Guillaume Baxter,Venture Capital,Materials and Resources
Synapse Medicine,Fleur Pellerin,Venture Capital,Healthcare
Synapse Medicine,Guillaume Meulle,Venture Capital,Healthcare
Off-Works,Hadrien de La Tour,Venture Capital,Business Products and Services (B2B)
PopChef,Philippe Salle,Angel (individual),Consumer Products and Services (B2C)
Kyotherm,Arnaud Delattre,Venture Capital,Financial Services
Ullo Labs,Daniel Pilaud,Venture Capital,Healthcare
Abyss Ingredients,Clémentine Breysse,Venture Capital,Healthcare
Finary,Alexandre Prot,Angel (individual),Information Technology
Finary,Eric Demuth,Angel (individual),Information Technology
Finary,Steve Anavi,Angel (individual),Information Technology
Seyna,Armelle de Tinguy,Venture Capital,Information Technology
Seyna,Hugues de Braucourt,Venture Capital,Information Technology
Seyna,Matthieu Lattes,Venture Capital,Information Technology
Tracktor,François Robinet,Venture Capital,Information Technology
Tracktor,Antoine Freysz,Venture Capital,Information Technology
Tracktor,Pascal Casanova,Angel (individual),Information Technology
Tracktor,Pierre Kosciusko Morizet,Angel (individual),Information Technology
Tracktor,Xavier Niel,Angel (individual),Information Technology
Scibids Technology,Umberto Bottesini,Venture Capital,Information Technology
Artpoint,Vincent Daffourd,Venture Capital,Business Products and Services (B2B)
InterCloud,Guillaume Dupont,Venture Capital,Information Technology
InterCloud,Jean Bourcereau,Venture Capital,Information Technology
PlayPlay,Robert Moffat,Venture Capital,Information Technology
Zefir,George Robson,Venture Capital,Consumer Products and Services (B2C)
Axeptio,Jean-Patrice Anciaux,Venture Capital,Information Technology
Axeptio,Arnaud Laurent,Venture Capital,Information Technology
Axeptio,Ulysse Laroche,Angel (individual),Information Technology
RollingFunds,Bernard Roques,Venture Capital,Information Technology
Starton,Charlie Boles,Venture Capital,Information Technology
Silvr,Alexandre Prot,Angel (individual),Financial Services
Silvr,Louis Chatriot,Angel (individual),Financial Services
Silvr,Pierre Dutaret,Angel (individual),Financial Services
Silvr,Raphaël Vullierme,Angel (individual),Financial Services
Silvr,Steve Anavi,Angel (individual),Financial Services
Weglot,Bruno Crémel,Venture Capital,Information Technology
Bolk,Anthony Bourbon,Angel (individual),Consumer Products and Services (B2C)
Bolk,Rand Hindi,Angel (individual),Consumer Products and Services (B2C)
Elicit Plant,Michael Brandkamp,Venture Capital,Materials and Resources
Elicit Plant,Michael Krel,Venture Capital,Materials and Resources
Firecell,Antoine Rivet,Angel (individual),Information Technology
Firecell,Antoine Roland,Angel (individual),Information Technology
Firecell,Anurag Thonivalappil Asokan,Angel (individual),Information Technology
Firecell,Cécile Roland,Angel (individual),Information Technology
Firecell,Damien Roland,Angel (individual),Information Technology
Firecell,Florian Kaltenberger,Angel (individual),Information Technology
Firecell,Franck Ganizate,Angel (individual),Information Technology
Firecell,Said Achache,Angel (individual),Information Technology
Firecell,Véronique Poudou,Angel (individual),Information Technology
Lhyfe,Bruno Jossec,Venture Capital,Energy
Combo,Jean Tardy-Joubert,Venture Capital,Information Technology
DAMAE Medical,Philippe Peltier,Venture Capital,Healthcare
nfinite,Dafina Toncheva,Venture Capital,Information Technology
Mipise,Cedric Delorme,Angel (individual),Information Technology
Climb (Financial Software),Alexandre Prot,Angel (individual),Information Technology
Climb (Financial Software),Celine Lazorthes,Angel (individual),Information Technology
Climb (Financial Software),Frank Zorn,Angel (individual),Information Technology
Climb (Financial Software),Steve Anavi,Angel (individual),Information Technology
Climb (Financial Software),Thibaud Elziere,Angel (individual),Information Technology
Luko,Brent Hoberman,Angel (individual),Financial Services
Luko,Ilkka Paananen,Angel (individual),Financial Services
Mediarithmics,Claire Houry,Venture Capital,Business Products and Services (B2B)
SafeHeal,Antoine Papiernik,Venture Capital,Healthcare
Descartes Underwriting,Stanislas Laurent,Venture Capital,Financial Services
Descartes Underwriting,Javier Santiso,Venture Capital,Financial Services
Descartes Underwriting,Xavier Lorphelin,Venture Capital,Financial Services
Pennylane,David Sainteff,Venture Capital,Information Technology
Pennylane,Luciana Lixandru,Venture Capital,Information Technology
Cintoo,Frederic van den Weghe,Venture Capital,Information Technology
Cintoo,Pedro Santos,Venture Capital,Information Technology
GetResto,Alain Bailly,Venture Capital,Consumer Products and Services (B2C)
Indeez,Andreas Neuber,Angel (individual),Financial Services
